,ORDER,Time,Location,"Type of bomb (Incendiary Bomb= IB Explosive Bomb= EB, COB= Crude Oil Bomb)",Damage or other details (All dimensions at in ft unless stated)
,472,18:40,"13 Pedro St, Clapton E5, London, UK",IB,6 x 4ft of roof and joisting damaged in scullery on ground floor
,473,18:40,"St Leonard's Avenue, Poplar E14, London, UK",IB,A number of IB bombs burned out on road
,474,18:40," Millwall Recreation Ground, E14, London, UK",EB,30x30 asphalt pavement damage
,475,18:40,"Globe Rope Works, East Ferry Road, , Millwall E14, London, UK",EB,200x30 building with machiner room and contents damaged
,476,18:40,"A Yard Millwall Docks, E14, London, UK",EB & IB,"Port of London Authority. No, 4, 4a and 5 warehouses, each of two floors and 400x60 damaged with contents."
,477,18:41,"Cantrell Road, E3, London, UK",IB,1 x 1 ft of tarmac slightly damaged
,478,18:42,"Yeoman Street, Deptford SE8, London, UK",Crude oil bomb,20x10 roadways damage
,479,18:43,"31 Preston Street, Bethnal Green, E2, London, UK",IB,"Front room on 1st floor and contents damaged, roof part off (4x3)"
,480,18:44,"Vesey Street, Poplar E14, London, UK",IB,A number of IB bombs burned out on road
,481,18:45,"Brunswick Square, WC1, London, UK",EB,back room of 5th floor and contents slihghtly damaged 2x1 roof damage
,482,18:45,"Brunswick Square, WC1, London, UK",EB,2x2 roadway damage and some buildings lightly damaged
,483,18:45,"Tamar Street, Charlton, SE7, London, UK",EB ,30x20 of roadway and paving severely damaged
,484,18:45,"Holbeach Road Catford, SE6, London, UK",-,2x2 pavement damage
,485,18:45,"Catford Greyhound Staium, Catford SE6, London, UK",-,Falling Shrapnel
,486,18:45,"Mountsfeild park, Catford SE6, London, UK",-,unexplodedbomb on enclosed ground at rear of premises
,487,18:45,"7, King John Street, Poplar, Greater London, E1 3, London, UK",IB,Water Closet and contents slightly damaged. 2 x 1 ft of roof by breakage in yard
,488,18:46,"276 Newcros Road, Newcross SE14, London, UK",IB,2x2 damage
,489,18:46,"131, St Leonards Street, Leonards RD, Poplar, E14, London, UK",IB,Pawnbrokers- Shop and house of 7 rooms about 5/6 and contents severely damaged.
,490,18:47,"Deptford Church Street, SE8, London, UK",IB,Southern Rail. Railway arch damaged
,491,18:47,"Emmott Street E1, London, UK",IB,1 x 1 ft of tarmac damaged
,492,18:47,"Molassine Wharf, Greenwich, SE, London, UK",Unknown enemy action,"Tow dumb barges, damaged and sunk"
,493,18:47,"Molassine Wharf, Greenwich, SE, London, UK",Unknown enemy action,Two dumb barges damaged
,494,18:47,"A Yard Millwall Docks, E14, London, UK",EB,"Port of London Authority. ""A"" Shed, awarehouse of two floors 400x60 damaged"
,495,18:50,"Newcross Gate Railway Station, Newcross, SE14, London, UK",EB,"Owned by Southern Railway, booking hall, platform and a building damaged by explosion"
,496,18:50,"1-6 Old Field Road, Rotherine, Se16, London, UK",EB,6 houses damaged 
,497,18:50,"103 Skidmore Street, Stepney E1, London, UK",IB,"House of 6 rooms. Back room and contents, severely damaged."
,498,18:50,"30 East Ferry Road, Cubitt Town, E14, London, UK",IB,"Shop and house of 6 rooms, and contents damaged"
,499,18:51,"Grace Street, Bromley, E3, London, UK",IB,"Starch Manufacturers. Range of buildings of 1-2 floors, covering 2 acres. 2/3 severely damaged"
,500,18:51,"14 Talwin Street, Bromley E3, London, UK",IB,"Private house of 8 rooms severely damaged, part of roof off"
,501,18:51,"16 Talwin Street, Bromley, E3, London, UK",IB,"Private house of 8 rooms severely damaged, part of roof off"
,502,18:52,"63 Stebondale Street, Cubitt Town, E14, London, UK",IB,Front room on 1st floor and contents damaged. 
,503,18:52,"Glengall Grove, E14, London, UK",EB,60x60 of roadway damaged
,504,18:52,"174 Glengall grove, Cubitt Town, E14, London, UK",EB,"Off licence. Building of 3 floord 60x20 , used as dwelling and store, contents severly damaged."
,505,18:52,"172 Glengall Grove Cubitt Town, E14, London, UK",EB,"Tobacconist, Shop and house of 6 rooms, damaged."
,506,18:55,"Alfred Street, Bow, E3, London, UK",IB,Back room on 2nd floor and contents slightly damaged. Roof by breakage
,507,18:55,"26 Ely Terrace, Stepney E1, London, UK",IB,"Front room on 1st floor and contents damaged, roof part off"
,508,18:56,"Heybridge Avenue, SW16, London, UK",IB,10x10 grass damage
,509,18:57,"176, Glengall Grove, Cubitt Town, E14, London, UK",EB,"6 houses, 6 rooms each damaged."
,510,18:57,"171 Stebondale Street, Cubitt Town, E14, London, UK",EB,8 houses 6 rooms each and contents damaged
,511,18:57,"124 Stebondale Street, Cubitt Town, E14, London, UK",EB,11 houses of 6 rooms ad contents damaged
,512,18:58,"Purcell Place, Hackney, E9, London, UK",IB,Front room on first floor and contents slightly damaged. 4x 2ft of roof by breakage
,513,18:59,"Commercial RD, E, London, UK",IB,2x 1 ft of paving damaged 
,514,19:00,"171, St. Asaph's Road, Brokerly SE4, London, UK",IB,6x4 roof damage
,515,19:00,"28 Harcourt Road, Brockley, SE4, London, UK",IB,Back room on 1st floor and contents damaged
,516,19:00,"Amesbury Avenue, Streatham, SW16, London, UK",IB,Anti- aircraft shell unexploded. And 2x2 roadway damaged
,517,19:00,"Bancroft Rd, Tower Hamlets, London E1, London, UK",IB,2 x 1ft of tarmac damaged
,518,19:00,"86 Ernest Street, Stepney E1, London, UK",IB,Back room on 2nd floor and contents damaged. 3x4 room damaged.
,519,19:00,"Pier Road, North Woolwich, E16, London, UK",EB & IB,London and North Eastern railway. 60x20x10 stack of coal 6 railway trucks and content severely damaged
,520,19:01,"Wearside Road, Lewisam, SE13, London, UK",IB,IB on enclosed ground 
,521,19:01,"Furze Street E3, London, UK",IB,2x1 ft of tarmac damaged
,522,19:03,"Eaton Place E9, London, UK",IB,"Front room on 1st floor and contents damaged by fire. 4x2 ft of roof by breakage, ceiling and contents under by water."
,523,19:05,"Silk Mills Path, Lewisham SE13, London, UK",EB,"Broadway Press, Ltd. Printers. Machine room, storage, roof damaged 200x150"
,524,19:05,"86 Ernest Street, Stepney E1, London, UK",IB,"Front room on 1st floor and contents damaged, roof part off (4x3)"
,525,19:06,"60 Buckhill Road, Eltham, SE9, London, UK",-,explosive bomb (unexploded) Yard damged.
,526,19:06,"Canadian Produce Warehouse, Swedish Yard, Surrey, Commercial Docks, SE16, London, UK",Crude oil bomb,Port of London Authority. 300x100 six floor building. Station Officer H. W. Knightand one fireman killed by high explosive bomb the next day while attending to this fire.
,527,19:07,"55, Glengarnock Avenue, Cubitt town E14, London, UK",IB,"A house of 6 rooms, upper part and contents severely damaged"
,528,19:07,"45, Glengarnock Avenue, Cubitt town E14, London, UK",IB,"A house of 6 rooms, upper part and contents severely damaged"
,529,19:07,"34, Glengarnock Avenue, Cubbit town E14, London, UK",IB,A timber shed building about 12x 10 feet  used as store and contents severely damaged
,530,19:07,"1 Pennyfields, London, UK
Poplar, London E14 8, London, UK",EB,Port of London Authority-About 60x40 ft of paving and some railway track damaged by explosion on dockside
,531,19:08,"Manchester Road, Cubitt Town E14, London, UK",IB,Builders and Contractors- Some stock in yard and motor lorry damaged
,532,19:10,"Hornlane East, Greenwich SE10, London, UK",EB,Southern rail. 30 ft roadway damaged
,533,19:10,"Commercial RD, E, London, UK",IB,"Zenith Garage-  Range of buildings of one and two floors about 90x 70ft, used as garage, offices and store. About 1/2 of contents severely damaged. Most part of roofs off."
,534,19:10,"Glenarm Road, Clapton, E5, London, UK",EB,Roadway and 4 private houses damaged
,535,19:11,"Butcher Row. Cable Street- Stepney E1, London, UK",EB,"Cider factory-A building of one floor used as workshops, offices and stores severely damaged."
,536,19:13,"Belford Grove, Woolwich, SE18, London, UK",-,Suspected unexploded bomb
,537,19:13,"Parry Place Woolwich Se18, London, UK",-,Suspected unexploded bomb
,538,19:13,"Burrage Road SE18, London, UK",-,Suspected unexploded bomb
,539,19:13,"Corborn Street, London, E3 2AB, London, UK",IB,2x1 paving damage
,540,19:14,"50 Ordnance Crescent, Greenwich SE10, London, UK",IB,Back room on 1st floor and contents damaged
,541,19:15,"Canada yard, Surrey, Commercial Docks, SE16, London, UK",Crude oil bomb,""""" Timber yard 1 1/2 acre damaged. "
,542,19:16,"40 and 42 Blackthorn Street Bow, E3, London, UK",EB,2 private houses damaged
,543,19:17,"Folly House Barge Roads, Blackwall Reach, E, London, UK",IB,Seven dumb barges and contents severely damaged
,544,19:19,"Barnes Street. Redmond Lane. Old Church Road. Head Street. Caroline Street- Stepney E1, London, UK",EB and IB,Minor fire and explosion damage
,545,19:20,"Princes Rise, Lewisham, SE13, London, UK",IB,3x2 carriage way damaged
,546,19:20,"Lewisham Hill, Lewisham SE13, London, UK",EB,South Met Gas Company: Gas destroyed and carriage way (20x20)
,547,19:20,"Durham Row, Tower Hamlets London E1 ONP, London, UK",IB,4x3 roof damage
,548,19:25,"19 Boyne Road, Lewisham, SE13, London, UK",-,2x2 roadway damage
,549,19:25,"Upper Quebec Yard, Surrey, Se16, London, UK",Crude oil bomb,"Timber storage covering 2 acres, damaged. "
,550,19:25,"102 West Ferry Road, Millwall E14, London, UK",IB and EB,"Wharfingers-A range of buildings of 1, 2 and 3 floors covering an area of about 650x 450 feet used as machine rooms, workshops, sorting rooms, offices dwelling and store. About 2/3 and contents, some stock in yard, including 3 motor lorries severely damaged."
,551,19:25,"102 West Ferry Road, Millwall E14, London, UK",IB and EB,"General Merchants-A range of buildings of 1, 2 and 3 floors covering an area of about 650x 450 feet used as machine rooms, workshops, sorting rooms, offices dwelling and store. About 2/3 and contents, some stock in yard, including 3 motor lorries severely damaged."
,552,19:25,"104 West Ferry Road, Millwall E14, London, UK",IB and EB,"Millwall Ingot Metals Ltd-A range of buildings of 1, 2 and 3 floors covering an area of about 650x 450 feet used as machine rooms, workshops, sorting rooms, offices dwelling and store. About 2/3 and contents, some stock in yard, including 3 motor lorries severely damaged."
,553,19:25,"Glengall Wharf, Millwall E14, London, UK",IB and EB,"Thames Oil Wharf-A range of buildings of 1, 2 and 3 floors covering an area of about 650x 450 feet used as machine rooms, workshops, sorting rooms, offices dwelling and store. About 2/3 and contents, some stock in yard, including 3 motor lorries severely damaged."
,554,19:25,"Union Road, Millwall E14, London, UK",IB and EB,"Beer Retailer-A range of buildings of 1, 2 and 3 floors covering an area of about 650x 450 feet used as machine rooms, workshops, sorting rooms, offices dwelling and store. About 2/3 and contents, some stock in yard, including 3 motor lorries severely damaged."
,555,19:25,"Lying at Lollar Wharf, London, UK",IB and EB,About 6 dumb barges and contents severely damaged
,556,19:30,"Hutchings Wharf, Hutchings street, West Ferry Road, Millwall E14, London, UK",IB,Walkers Wharfage and Haulage Co.-A building of one floor about 60x 40 ft used as store and contents and come stock in yard slightly damaged.
,557,19:30,"Pelican Passage, Cambridge Heath Road, E1, London, UK",EB,Cambridge Warehouse Co. (General Merchants)150x100 four floor building used as stores. Ground and 1st severely damaged.
,558,19:35,"Whitman Road, Bow E3, London, UK",IB,2x1 paving damage
,559,19:36,"Walker Street, E14, London, UK",IB,2x1 paving damage
,560,19:43,"3 Orchard Place, Blackheath, SE3, London, UK",IB,2x1 roof damage
,561,19:45," Walter Terrace, Poplar, Greater London, E1 , London, UK",IB,Back room on 1st floor damaged. 
,562,19:46,"198 Lewisham High Street, Lewisham, SE13, London, UK",-,Electric cables burned in debris
,563,19:47,"Canada yard, Surrey, Commercial Docks, SE16, London, UK",IB,Range of sheds with timbers covering 2 acres are damaged and falled down.
,564,19:51,"Otis Street, Bromley, E3, London, UK",IB,Gas and water leakage in street
,565,19:53,"Trinity Wharf, Rotherhithe Street S.E.16, London, UK",IB,5 dumb barges unladen damaged
,566,19:53,"Trinity Wharf, Rotherhithe Street S.E.16, London, UK",IB,2 dumb barges and contents damaged by fire and sunk
,567,19:53,"Trinity Wharf, Rotherhithe Street S.E.16, London, UK",IB,dumb barge and contents damaged by fire and sunk
,568,20:00,"38 Collent Street, E9, London, UK",IB,Back room on ground floor damaged. 
,569,20:01,"Aberdeen Wharf 94 \Wapping High Street, Tower Hamlets, London E1W 2ND, London, UK",EB,dumb barge damaged by explosion and sunk
,570,20:01,"St. Leonard's Street, Bromley E3, London, UK",IB,Gas leakage in street
,571,20:03,"St. Paul's Way, E3, London, UK",IB,2x1 paving damage
,572,20:05,"Rhodeswell Road, E, London, UK",IB,2x1 paving damage
,573,20:10,"Timothy Road, Poplar, Greater London E3 4, London, UK",IB,2x1 paving damage
,574,20:15,"Cavell Street- Stepney E1, London, UK",EB and IB,Minor fire and explosion damage
,575,20:26,"307 Stepney Way E1, London, UK",IB,Back room on 2nd floor and contents damaged
,576,20:35,"391 Mile End Road, E, London, UK",EB,Buildings and contents severely damaged
,577,20:37,"Surbartic House, Larkhall lane, Clapham, SW4, London, UK",IB,IB in yard
,578,20:38,"Folly House Buoy, Blackwall Reach, E, London, UK",IB,2 dumb barges damaged 
,579,20:39,"Girdlers Road West Kensington w14, London, UK",EB,"Roadway, Pavement, 4 inch gas main, a house and it's contents damaged"
,580,20:40,"121 Vauxhall Bridge Road, Pimlico SW1, London, UK",IB,3x2 of flooring damage front room and 3rd floor also damaged
,581,20:40,"65 Effra Road, Brixton SW2, London, UK",IB,London County Council Architects Department. IB burned out in garden
,582,20:41,"Summerley Street, Wandworth, SW18, London, UK",IB,Southern trains 1x1 of deck planking damaged on bridge
,583,20:42,"61 Cleaver Street, SE11, London, UK",IB,IB in yard
,584,20:42,"5 Ethelred Strret SE11, London, UK",IB,Minor fire and explosion damage
,585,20:43,"Caldecot Road, Camberwell, SE5, London, UK",IB,"London County Council. 85 ""U"" sub-station 2x1 tar damaged"
,586,20:43,"31a Morecambe Street , SE17, London, UK",Eb,Shop and house of 8 rooms damaged
,587,20:43,"Browning Street, King and Queen Street, SE17, London, UK",EB,Shop and house of 3 rooms damaged
,588,20:43,"24 Coleridge Buildings, King and Queen Street, SE17, London, UK",IB,Kitchen on 4th floor damaged
,589,20:43,"43 Browing Street, SE17, London, UK",IB,Back rooms 1st floor damaged
,590,20:43,"15 Manor Place, SE17, London, UK",IB,Southwark Borough Council Public Baths. 80x50 swimming pool and slipper baths damaged
,591,20:43,"Larcombe Street, SE17, London, UK",Ib,2x1 paving damage
,592,20:44,"Oldfield Grove, Rotherithe SE16, London, UK",IB,"Rope and Twine makers: 600x40 building, store and workhouse severely damaged and fallen down. "
,593,20:45,"99 Larkhall lane, Clapham SW4, London, UK",IB,Undertakers: 2x1 roof damage
,594,20:45,"99 Larkhall lane, Clapham SW4, London, UK",IB,2x1 roof damage
,595,20:45,"51 Paradise Road, Clapham, SW4, London, UK",IB,IB burned out in garden
,596,20:46,"Vauxhall Bridge Road Pimlico SW1, London, UK",IB,2x1 roadway damage
,597,20:46,"7 Pembroke Gardens, Kensington w8, London, UK",IB,IB unignited
,598,20:46,"Jeffreys Road, Clapham SW4, London, UK",IB,Suspected presence of IB
,599,20:47,"Peel House, Regency St, Horseferry Road SW1, London, UK",IB,2x1 concrete damage
,600,20:48,"Vauxhall Walk, Lambeth, Se11, London, UK",Ib,Minor fire and explosion damage
,601,20:50,"Stillington Street, Westminster, SW1, London, UK",IB,2x1 roadway damage
,602,20:50,"Lillington Street, Pimlico, SW1, London, UK",IB,2x2 roadway damage
,603,20:50,"108, Earls Court Road, w8, London, UK",EB,"14 rooms severely damaged, 1 male 1 femailekilled"
,604,20:50,"79-83c Lexham Gardens, w8, London, UK",EB,three private houses and contents severely damaged
,605,20:50,"36 Willow Way, Sydenahm, SE26, London, UK",IB,IB burned out in garden
,606,20:50,"Lydhurst Avenue, Streatham Hill, SW2, London, UK",EB,"All owned by Wandsworth Borough council or South Met Gas: Roadway and paving all damaged. Gas mains fractured, several private houses damaged"
,607,20:50,"Lydhurst Avenue, Streatham Hill, SW2, London, UK",EB,"All owned by Wandsworth Borough council or South Met Gas: Roadway and paving all damaged. Gas mains fractured, several private houses damaged"
,608,20:50,"Keymer Road, SW2, London, UK",EB,"All owned by Wandsworth Borough council or South Met Gas: Roadway and paving all damaged. Gas mains fractured, several private houses damaged"
,609,20:50,"Faygate Road, SW2, London, UK",EB,"All owned by Wandsworth Borough council or South Met Gas: Roadway and paving all damaged. Gas mains fractured, several private houses damaged"
,610,20:51,"20 Albert Embankment, Se11, London, UK",Ib,Minor fire and explosion damage
,611,20:51,"Albert Embankment, SE11, London, UK",Ib,IB in yard
,612,20:52,"Vauxhall Bridge Road, Pimlico, SW1, London, UK",IB,unexploded canon shell 2x1 roadway damage
,613,20:52,"York Hill, West Norwood, SE27, London, UK",IBIB,IB on road
,614,20:52,"Winton Lodge, Crown Lane Streatham, SW16, London, UK",IB,6x4 of grass burned in garden
,615,20:52,"Copenhagen Place, London, UK
Poplar, Greater London E14 7, London, UK",IB,2x1 paving damage
,616,20:52,"Bow Road E3, London, UK",IB,2x1 paving damage
,617,20:52,"Salmon Lane, London, UK
Poplar, Greater London E14,, London, UK",IB,2x1 paving damage
,618,20:53,"38 Collingtree Road, SE26, London, UK",IB,Back room on ground floor and contents damaged
,619,20:53,"43 Ellerslie Square, Clapham SW4, London, UK",IB,2x1 roof damage
,620,20:54,"5 Hermitage Lane, Streatham, SW16, London, UK",IB,"Boot Repairer, IB burned out on roof."
,621,20:55,"Stonhouse Street, Clapham, SW4, London, UK",EB,"Roadway damaged, gas main fractured"
,622,20:55,"Alexandra Mansions, 140, Stonhouse Street, Clapham SW4, London, UK",EB,A building of three floors 40x30 damaged by explosion.
,623,20:55,"Bellenden Road, Peckham, SE15, London, UK",EB,All damaged by explosion
,624,20:55,"18-34 and 13-39 (inclusive) (23 buildings), London, UK",EB,All damaged by explosion
,625,20:55,"Sheffield House, 3, 5 and 7 (3 buildings) , London, UK",EB,All damaged by explosion
,626,20:55,"Bellenden Road, Peckham, SE15, London, UK",EB,All damaged by explosion
,627,20:55,"Putney Heath, Putney SW15, London, UK",IB,10x10 grass damaged
,628,20:56,"52 and 54 Danby Street, Peckham SE15, London, UK",-,Minor fire and explosion damage
,629,20:56,"31 Parkhouse Street, Peckham SE15, London, UK",-,Minor fire and explosion damage
,630,20:56,"160 Rye Lane Peckham, SE15, London, UK",-,Minor fire and explosion damage
,631,20:56,"Southamton Way, Peckham SE15, London, UK",-,Minor fire and explosion damage
,632,20:56,"19 St. George's Way, Peckham SE15, London, UK",-,Minor fire and explosion damage
,633,20:56,"Choumert Road, peckham SE15, London, UK",-,Minor fire and explosion damage
,634,20:56,"Harris Street, Camberwell SE5, London, UK",-,Minor fire and explosion damage
,635,20:56,"Wells Way, Southwark, London SE5, United Kingdom, London, UK",-,Minor fire and explosion damage
,636,20:56,"Bessemer Road, Camberwell, SE5, London, UK",EB,"Kings College Hospital, main entrance and casualty ward damaged. "
,637,20:56,"88 Kennington Park Road, Se11, London, UK",Ib,Minor fire and explosion damage
,638,20:57,"Westwood Park, Forest Hill, SE23, London, UK",IB,IB on enclosed ground 
,639,20:57,"Richmond Park, Roehampton, SW15, London, UK",IB,10x10 grass damaged
,640,20:57,"9 Colworth Grove, Browing Street, SE17, London, UK",IB,storeroom on ground floor damaged
,641,20:57,"Hayles Stret. St. George's Road, SE11, London, UK",IB,2x1 paving damage
,642,20:57,"Colworth Grove, Browinging Street SE17, London, UK",Ib,2x1 paving damage
,643,20:57,"Browning Street, SE17, London, UK",IB,2x1 paving damage
,644,20:57,"42 Braganza Street SE17, London, UK",Ib,IB in yard
,645,20:57,"77 Brook Drive, SE11, London, UK",EB,Buildings damaged
,646,20:58,"4g, Chapter Strret, Westminster SW1, London, UK",IB,4x2 roof damage
,647,20:58,"22 Horniman Drive, Forest hill, SE23, London, UK",Ib,Back room on 1st floor and contents damaged
,648,20:58,"71 Casewick Road, West Norwood, Se27, London, UK",IB,2x1 grass burned in garden
,649,20:58,"96 Longley Road Tooting, SW17, London, UK",IB,15x4 timer and iron store damaged
,650,20:58,"125 Wavertree Road, Streatham hill, SW2, London, UK",IB,6x4 fence damaged
,651,20:59,"Morval Road, Brixton, SW2, London, UK",IB,"Lambeth Borough Council, Ib burned out in street"
,652,20:59,"Barrow Road, Streamtham, SW16, London, UK",EB,"South Met Gas, Wandsworth Borough Counciland Met Water Bourd Buildings. Roadway damaged, gas and water mains fractured. 30x5 brick wall damaged"
,653,20:59,"Barrow Road, Streamtham, SW16, London, UK",EB,"South Met Gas, Wandsworth Borough Counciland Met Water Bourd Buildings. Roadway damaged, gas and water mains fractured. 30x5 brick wall damaged"
,654,20:59,"Barrow Road, Streamtham, SW16, London, UK",EB,"South Met Gas, Wandsworth Borough Counciland Met Water Bourd Buildings. Roadway damaged, gas and water mains fractured. 30x5 brick wall damaged"
,655,20:59,"Bladen Court, Barrow Road, SW16, London, UK",Eb,"South Met Gas, Wandsworth Borough Counciland Met Water Bourd Buildings. Roadway damaged, gas and water mains fractured. 30x5 brick wall damaged"
,656,21:00,"Crescent Grove, Clapham, SW4, London, UK",-,Suspected presence of IB
,657,21:00,"29 Tyrell Road, East Dulwich, SE2, London, UK",Ib,Back room on 1st floor and contents damaged
,658,21:00,"Garratt Lane, Tooting, Sw17, London, UK",IB,6x4 roof damaged
,659,21:00,"71 Graveney Road, tooting SW17, London, UK",IB,back rooms 1st floor damaged
,660,21:00,"Brook Drive, Se11, London, UK",Ib,2x1 paving damage
,661,21:00,"Brook Drive, Se11, London, UK",IB,3x2 paving damaged
,662,21:00,"6 Boulcott Street, E1, London, UK",IB,"Timber shed, 8x7 used as store damaged with contents"
,663,21:00,"Burdett Road, E3, London, UK",IB,10x8 wooden hoarding damaged
,664,21:01,"12 Kingsmead Road, Streatham, SW16, London, UK",IB,4x2 roof damage
,665,21:01,"Turguand Street, Walworth, SE17, London, UK",Ib,2x1 roof damage
,666,21:02,"Georgette Place Greenwich SE10, London, UK",EB,South Met Gas Company: Gas destroyed and carriage way (15x10)
,667,21:02,"47 Orient Street, Kennington SE11, London, UK",IB,"Motor garage, 80x60 one floor building, 2/3 content damaged"
,668,21:03,"41 Church Road, Brixton, SW2, London, UK",IB,IB in yard
,669,21:03,"Turner's Rd, London, UK
Tower Hamlets, London E3, London, UK",IB,1x1 paving damage
,670,21:03,"Acland Street and Acland Street Streatfild Street, London, UK",EB,20x15 roadway and paving damage
,671,21:04,"St. Paul's Road, Islington, n1, London, UK",IB,"front room on third floor damaged, including roof and ceiling"
,672,21:05,"Harrow Road, w2, London, UK",EB,gas mains and 20x 20 of paving destroyed
,673,21:05,"42 Norman Road, Greenwich, SE10, London, UK",EB,"Wharfingers, 30x20 quayside damage"
,674,21:05,"293 Leighham Court Road, Streatham, SW16, London, UK",IB,4x3 grass burned
,675,21:05,"218 Leigham Court Road, Streatham, Sw16, London, UK",IB,"5x3 of lath and plaster, ceiling damaged by fire and . First floor and rest of ditto anf contents damaged"
,676,21:06,"190 Underhill Road, East Dulwich, SE22, London, UK",IB,Back room on 2nd floor and contents damaged
,677,21:06," Garratt Lane, Tooting SW17, London, UK",IB,R.E Gordon Printing shop. Office damaged
,678,21:07,"Crownstone Road, Brixton, SW2, London, UK",IB,IB on road
,679,21:09,"Longfellow Road e3, London, UK",IB,2x1 paving damage
,680,21:10,"110 Kimberlet Avenue, Camberwell SE15, London, UK",IB,Back room on 1st floor and contents damaged
,681,21:10,"Riverside Greenwich SE10, London, UK",IB,"Dumb barge Cabden, Elizabeth, Hallett. D. H. Hallett & Co. Pipers Wharf, Riverside Greenwich SE10. Three vessels each 60 tons gross (unladen) slightly damaged by fire."
,682,21:10,"Parkhouse Street, Peckham, SE15, London, UK",EB,7 Private houses damaged
,683,21:10,"Maudsley Hospital, Denmark Hill, Southwark, London SE5 8AZ, London, UK",IB,IB in grounds
,684,21:10,"1 Uffington Road, West Noorwood, SE27, London, UK",IB,2x1 roof damage
,685,21:10,"900 Garratt Lane, Tooting, SW17, London, UK",IB,Scullery on 1st floor damaged
,686,21:10,"112 Downton Avenue, Streatham Hill, SW2, London, UK",EB,2 houses damaged
,687,21:10,"Hillside Road, Tulse Hill, SW2, London, UK",IB,Artisians and General Dwelling Ltd. Tennis net damaged
,688,21:12,"52 Palace Road, Tulse Hill, SW2, London, UK",IB,IB burned out in garden
,689,21:12,"Leigham Courrt Road, Streatham SW16, London, UK",IB,IB burned out in garden
,690,21:13,"45 Furthergreen Road, Catford, SE13, London, UK",-,unexploded bomb on enclosed ground at rear of premises
,691,21:13,"4 Knatchbull Road, Camberwell, SE5, London, UK",EB,20x6 feet of brick wall damaged
,692,21:13,"20 County Grove,  SE5, London, UK",EB,Our Lady of Mercy Convent: Building damaged
,693,21:13,"County Grove SW5, London, UK",EB,"Lambeth Borough Council, 10x6 paving damage"
,694,21:13,"County Grove SW5, London, UK",EB,"South Met Gas. 4"" main fractured"
,695,21:16,"Longfellow Road e3, London, UK",IB,2x1 paving damage
,696,21:21,"Sandmere Road, Clapham, SW4, London, UK",IB,IB burned out in street
,697,21:29,"Acre Lane, Brixton, SW2, London, UK",-,IB on road unignited
,698,21:32,"22-24, Pllumstead Road, Plumstead SE18, London, UK",IB,two buildings damged
,699,21:32,"29-65 Haddo Street, Greenwich SE10, London, UK",EB,18 cottages damaged
,700,21:32,"253 Leigham Court Road, Streatham, SW16, London, UK",IB,H. Day & Sons Furniture depositories: IB on road
,701,21:34,"Flat 5, 17, Cranworth Gardens, Brixton, SW9, London, UK",IB,6x4 roof damaged
,702,21:35,"Clinton Road, Tower Hamlets London E3, London, UK",,Many buildings and contents in these thoroughfares damaged
,703,21:37,"Southwark, London SE1, London, UK",IB,2x1 paving damage
,704,21:37,"Newington Causeway, London SE1, , London, UK",EB,30x20 roadway damaged
,705,21:40,"Caldwell Street, Brixton SW9, London, UK",EB,26 private houses damaged
,706,21:40,"Caldwell St, London, UK
Lambeth, London SW9, London, UK",EB,20x20 roadway damaged
,707,21:40,"Caldwell St, London, UK
Lambeth, London SW9, London, UK",EB,"South Met Gas. 4"" main fractured"
,708,21:40,"157 Ernest Street, E1, London, UK",IB,Top floor damaged
,709,21:41,"Emmett Street E14, London, UK",IB,2x1 paving damage
,710,21:42,"Odessa St, Southwark, London SE16, London, UK",IB,2 dumb barges sverely damaged
,711,21:46,"Bazeley Street, Poplar E14, London, UK",IB,Number of IB burned out on road
,712,21:50,"4 Southey Road, Brixton SW9, London, UK",EB,3 private houses damaged
,713,21:50,"Southey Road, Brixton SW9, London, UK",EB,20x20 roadway damaged
,714,21:50,"Southey Road, Brixton SW9, London, UK",EB,"South Met Gas. 4"" main fractured"
,715,21:51,"146-150, Brixton Road, SW9, London, UK",EB,3 private houses damaged
,716,21:51,"Brixton Road, Brixton SW9, London, UK",EB,15x15 roadway damaged
,717,21:51,"Brixton Road, Brixton SW9, London, UK",EB,"South Met Gas. 4"" main fractured"
,718,21:51,"Pratt Walk, London, UK
Lambeth, London SE11, London, UK",EB & IB,"Owned by, Met. Police and Southern Railway. Range of 3 floor buildings, 300x200, used as garages and stores"
,719,22:00,"Tunnel Avenue, Greenwich, SE10, London, UK",IB,"Dumbarge ""Alice"" Humphery and Grey. A vessell of about 75 tons, laden with timber, severely damaged by the fire and submergedand 20x15 of wooden quay slightly damaged"
,720,22:00,"56 Rogers Road, Tooting, SW17, London, UK",IB,IB in yard
,721,22:00,"Deptford Church Street, SE8, London, UK",IB,"Rag Merchants, Quantity of stock destroyed. "
,722,22:00,"18 Hereford Street, Bethnal Green, e2, London, UK",IB,"Front room on 1st floor and contents damaged, roof part off (2x3)"
,723,22:02,"Devons RD E3, London, UK",IB,2x1 ft of paving damaged
,724,22:03,"Cantrell RD E3, London, UK",IB,2x1 ft of tarmac damaged
,725,22:05,"Drawdrock Road, Tunnel Avenue, Greenwich SE10, London, UK",EB & IB,""""" """" A building of two floors 50x30, used as workshop and stores severely damaged"
,726,22:05,"Lying at Pipers Wharf, Riverside, Greenwich, SE10, London, UK",IB,"A vessel of 80 tons laden with general cargo, 1/2 contents damaged"
